,CodaViolation,Condition,Filler,Item,OnsetViolation,ReactionTime,SelectedTest,Subject,TestPosition,TrialNumber,Version,Vowel
580,0,BG,smim,12,1,849,0,A1HH2KZIFLXRJL,0,25,2,a
581,1,GB,fashk,23,0,1065,1,A1HH2KZIFLXRJL,0,26,2,oo
582,0,BG,flelg,8,1,2944,1,A1HH2KZIFLXRJL,1,27,2,e
583,0,GG,shesp,6,0,1277,1,A1HH2KZIFLXRJL,0,28,2,a
584,0,GG,spelsh,22,0,1089,1,A1HH2KZIFLXRJL,0,29,2,i
594,0,BG,gwald,15,1,2372,1,A1IZAAWW80IWQ1,1,2,3,o
595,0,BG,gralfth,7,1,1759,0,A1IZAAWW80IWQ1,0,3,3,i
596,0,GG,spup,21,0,3010,1,A1IZAAWW80IWQ1,0,4,3,o
597,1,BB,slils,12,1,2492,0,A1IZAAWW80IWQ1,1,5,3,a
598,0,BG,dwoond,11,1,2634,0,A1IZAAWW80IWQ1,1,6,3,oo
599,1,BB,smim,4,1,2397,0,A1IZAAWW80IWQ1,1,7,3,u
600,1,GB,shrelth,22,0,1572,0,A1IZAAWW80IWQ1,0,8,3,i
602,1,BB,gwempt,20,1,3355,0,A1IZAAWW80IWQ1,1,10,3,u
603,0,GG,felmth,9,0,1412,1,A1IZAAWW80IWQ1,1,11,3,u
604,0,GG,sloond,13,0,1332,1,A1IZAAWW80IWQ1,1,12,3,e
605,1,GB,blelth,18,0,1629,0,A1IZAAWW80IWQ1,1,13,3,a
606,1,GB,glagd,10,0,1749,0,A1IZAAWW80IWQ1,1,14,3,o
608,1,BB,brur,8,1,1136,0,A1IZAAWW80IWQ1,1,16,3,e
610,1,GB,sklime,14,0,1843,0,A1IZAAWW80IWQ1,1,18,3,i
611,0,GG,spelsh,5,0,1757,1,A1IZAAWW80IWQ1,1,19,3,oo
612,0,BG,flelg,23,1,1805,1,A1IZAAWW80IWQ1,1,20,3,oo
613,1,BB,skuck,16,1,1221,0,A1IZAAWW80IWQ1,1,21,3,e
614,1,GB,throth,6,0,1277,0,A1IZAAWW80IWQ1,0,22,3,a
615,0,BG,fashk,3,1,1067,1,A1IZAAWW80IWQ1,0,23,3,i
616,1,GB,threlt,2,0,1098,0,A1IZAAWW80IWQ1,0,24,3,o
617,0,BG,skoths,19,1,1993,0,A1IZAAWW80IWQ1,0,25,3,e
618,0,GG,trilb,1,0,1397,1,A1IZAAWW80IWQ1,0,26,3,e
619,1,BB,skralk,0,1,1309,0,A1IZAAWW80IWQ1,0,27,3,a
621,0,GG,shesp,17,0,1741,0,A1IZAAWW80IWQ1,0,29,3,oo
631,1,BB,gwempt,18,1,6751,0,A1JXSNKXAXT9OU,1,2,1,a
632,0,BG,skuck,1,1,3388,0,A1JXSNKXAXT9OU,1,3,1,e
633,1,GB,skoths,0,0,4626,0,A1JXSNKXAXT9OU,0,4,1,a
634,1,GB,smim,8,0,3842,0,A1JXSNKXAXT9OU,0,5,1,e
635,1,BB,sloond,22,1,2818,0,A1JXSNKXAXT9OU,0,6,1,i
636,0,GG,gralfth,3,0,3171,1,A1JXSNKXAXT9OU,0,7,1,i
637,1,GB,brur,16,0,2921,0,A1JXSNKXAXT9OU,1,8,1,e
638,1,BB,shrelth,14,1,4399,0,A1JXSNKXAXT9OU,0,9,1,i
640,0,BG,gwald,5,1,2363,0,A1JXSNKXAXT9OU,1,11,1,oo
641,0,GG,spup,15,0,3472,1,A1JXSNKXAXT9OU,1,12,1,o
642,1,GB,sklime,4,0,3586,0,A1JXSNKXAXT9OU,0,13,1,u
643,1,BB,skralk,10,1,3571,0,A1JXSNKXAXT9OU,0,14,1,o
644,1,GB,fashk,20,0,4529,0,A1JXSNKXAXT9OU,0,15,1,u
645,0,BG,blelth,9,1,4034,1,A1JXSNKXAXT9OU,1,16,1,u
646,0,BG,shesp,13,1,3659,0,A1JXSNKXAXT9OU,0,17,1,e
647,1,BB,glagd,2,1,5225,0,A1JXSNKXAXT9OU,1,18,1,o
648,0,GG,dwoond,23,0,2123,1,A1JXSNKXAXT9OU,1,19,1,oo
651,0,GG,spelsh,19,0,3642,1,A1JXSNKXAXT9OU,0,22,1,e
652,0,BG,trilb,17,1,2234,0,A1JXSNKXAXT9OU,1,23,1,oo
653,0,GG,threlt,11,0,3483,0,A1JXSNKXAXT9OU,1,24,1,oo
654,1,BB,slils,6,1,3753,0,A1JXSNKXAXT9OU,1,25,1,a
655,1,GB,throth,12,0,2475,0,A1JXSNKXAXT9OU,1,26,1,a
656,0,BG,felmth,21,1,5427,0,A1JXSNKXAXT9OU,1,27,1,o
657,0,GG,flelg,7,0,2077,1,A1JXSNKXAXT9OU,1,28,1,i
668,1,BB,threlt,3,1,15695,0,A1N4AZ1QXPOPXH,0,2,0,i
670,1,BB,throth,15,1,1176,0,A1N4AZ1QXPOPXH,1,4,0,o
671,1,GB,felmth,5,0,1662,0,A1N4AZ1QXPOPXH,0,5,0,oo
673,0,GG,dwoond,16,0,989,1,A1N4AZ1QXPOPXH,0,7,0,e
674,0,BG,fashk,18,1,1016,0,A1N4AZ1QXPOPXH,0,8,0,a
675,0,BG,sklime,22,1,1083,0,A1N4AZ1QXPOPXH,1,9,0,i
676,1,BB,trilb,7,1,1082,0,A1N4AZ1QXPOPXH,1,10,0,i
677,0,BG,sloond,2,1,1402,0,A1N4AZ1QXPOPXH,1,11,0,o
678,0,BG,spup,10,1,905,1,A1N4AZ1QXPOPXH,0,12,0,o
679,0,GG,shrelth,8,0,1211,1,A1N4AZ1QXPOPXH,0,13,0,e
680,0,GG,gralfth,0,0,1627,1,A1N4AZ1QXPOPXH,0,14,0,a
681,0,BG,skuck,14,1,1062,0,A1N4AZ1QXPOPXH,0,15,0,i
682,0,GG,glagd,20,0,913,1,A1N4AZ1QXPOPXH,1,16,0,u
683,1,GB,blelth,9,0,1176,0,A1N4AZ1QXPOPXH,0,17,0,u
684,1,GB,gwald,1,0,1576,0,A1N4AZ1QXPOPXH,1,18,0,e
686,1,BB,skoths,23,1,1157,0,A1N4AZ1QXPOPXH,0,20,0,oo
688,1,BB,flelg,19,1,954,0,A1N4AZ1QXPOPXH,0,22,0,e
689,1,BB,brur,11,1,1023,1,A1N4AZ1QXPOPXH,0,23,0,oo
690,0,GG,shesp,4,0,1130,1,A1N4AZ1QXPOPXH,0,24,0,u
691,1,GB,skralk,21,0,1279,0,A1N4AZ1QXPOPXH,1,25,0,o
692,0,BG,slils,6,1,1209,1,A1N4AZ1QXPOPXH,1,26,0,a
693,0,GG,gwempt,12,0,1216,1,A1N4AZ1QXPOPXH,0,27,0,a
694,1,GB,smim,17,0,1248,0,A1N4AZ1QXPOPXH,1,28,0,oo
695,1,GB,spelsh,13,0,1080,1,A1N4AZ1QXPOPXH,0,29,0,e
705,1,GB,gwempt,4,0,16576,0,A1N783M0TDDHQA,0,2,1,u
706,1,GB,threlt,0,0,2172,0,A1N783M0TDDHQA,0,3,1,a
707,0,GG,spup,11,0,4005,1,A1N783M0TDDHQA,0,4,1,oo
708,0,GG,dwoond,7,0,3893,1,A1N783M0TDDHQA,0,5,1,i
711,0,BG,blelth,21,1,5886,0,A1N783M0TDDHQA,1,8,1,o
713,1,GB,skralk,20,0,3341,0,A1N783M0TDDHQA,1,10,1,u
714,1,BB,trilb,6,1,6006,1,A1N783M0TDDHQA,0,11,1,a
715,0,GG,spelsh,15,0,3637,1,A1N783M0TDDHQA,1,12,1,o
716,0,BG,sklime,17,1,2470,0,A1N783M0TDDHQA,1,13,1,oo
717,0,BG,smim,9,1,2173,0,A1N783M0TDDHQA,1,14,1,u
718,1,GB,skuck,16,0,2222,0,A1N783M0TDDHQA,0,15,1,e
719,0,BG,sloond,1,1,2773,1,A1N783M0TDDHQA,1,16,1,e
720,0,GG,slils,23,0,1685,1,A1N783M0TDDHQA,1,17,1,oo
721,1,BB,gwald,14,1,3086,0,A1N783M0TDDHQA,0,18,1,i
722,0,GG,brur,19,0,2400,1,A1N783M0TDDHQA,0,19,1,e
724,1,BB,glagd,10,1,3510,1,A1N783M0TDDHQA,1,21,1,o
725,1,GB,fashk,12,0,5038,0,A1N783M0TDDHQA,0,22,1,a
726,0,BG,gralfth,5,1,3525,0,A1N783M0TDDHQA,1,23,1,oo
727,1,BB,flelg,2,1,2910,0,A1N783M0TDDHQA,0,24,1,o
728,0,BG,throth,13,1,1533,0,A1N783M0TDDHQA,0,25,1,e
729,1,GB,felmth,8,0,2526,0,A1N783M0TDDHQA,0,26,1,e
730,0,GG,skoths,3,0,1486,1,A1N783M0TDDHQA,1,27,1,i
731,1,BB,shesp,18,1,2453,0,A1N783M0TDDHQA,0,28,1,a
732,1,BB,shrelth,22,1,2029,0,A1N783M0TDDHQA,0,29,1,i
744,1,BB,sklime,12,1,1645,0,A1NITMHYG5YL3H,0,4,3,a
745,1,GB,trilb,6,0,1858,0,A1NITMHYG5YL3H,1,5,3,a
746,1,GB,skralk,2,0,3909,0,A1NITMHYG5YL3H,0,6,3,o
747,0,GG,smim,5,0,1724,1,A1NITMHYG5YL3H,1,7,3,oo
748,1,BB,skoths,20,1,1483,0,A1NITMHYG5YL3H,1,8,3,u
749,0,BG,flelg,11,1,2045,1,A1NITMHYG5YL3H,0,9,3,oo
750,0,GG,glagd,17,0,1669,1,A1NITMHYG5YL3H,0,10,3,oo
752,0,GG,shesp,13,0,2017,1,A1NITMHYG5YL3H,0,12,3,e
753,1,GB,spelsh,14,0,2728,0,A1NITMHYG5YL3H,0,13,3,i
754,1,BB,skuck,8,1,1697,0,A1NITMHYG5YL3H,0,14,3,e
755,1,GB,gwempt,22,0,2561,0,A1NITMHYG5YL3H,0,15,3,i
757,1,GB,shrelth,10,0,1814,0,A1NITMHYG5YL3H,1,17,3,o
758,1,BB,felmth,4,1,1987,0,A1NITMHYG5YL3H,1,18,3,u
759,0,BG,gralfth,7,1,1705,0,A1NITMHYG5YL3H,1,19,3,i
760,0,BG,gwald,19,1,1829,0,A1NITMHYG5YL3H,0,20,3,e
761,0,BG,threlt,3,1,1542,0,A1NITMHYG5YL3H,1,21,3,i
762,0,GG,slils,1,0,3176,1,A1NITMHYG5YL3H,1,22,3,e
763,1,BB,blelth,0,1,1380,0,A1NITMHYG5YL3H,1,23,3,a
764,0,BG,brur,23,1,1877,1,A1NITMHYG5YL3H,1,24,3,oo
765,0,GG,dwoond,9,0,1574,1,A1NITMHYG5YL3H,0,25,3,u
766,0,GG,spup,21,0,2185,1,A1NITMHYG5YL3H,0,26,3,o
767,1,BB,throth,16,1,1372,0,A1NITMHYG5YL3H,1,27,3,e
768,1,GB,sloond,18,0,2806,1,A1NITMHYG5YL3H,0,28,3,a
769,0,BG,fashk,15,1,1617,1,A1NITMHYG5YL3H,1,29,3,o
779,0,BG,skoths,14,1,5903,0,A1OYZYZY9KKACR,0,2,0,i
780,1,BB,glagd,7,1,4244,0,A1OYZYZY9KKACR,0,3,0,i
781,1,GB,throth,17,0,2399,0,A1OYZYZY9KKACR,0,4,0,oo
782,1,GB,skralk,1,0,4366,1,A1OYZYZY9KKACR,0,5,0,e
783,0,GG,spup,16,0,3017,1,A1OYZYZY9KKACR,1,6,0,e
784,1,GB,felmth,21,0,2188,0,A1OYZYZY9KKACR,0,7,0,o
785,0,GG,dwoond,8,0,1796,1,A1OYZYZY9KKACR,1,8,0,e
787,0,BG,threlt,18,1,3088,0,A1OYZYZY9KKACR,1,10,0,a
788,1,GB,sloond,9,0,3006,1,A1OYZYZY9KKACR,0,11,0,u
789,1,BB,gwempt,15,1,3159,0,A1OYZYZY9KKACR,1,12,0,o
790,0,GG,gwald,4,0,2469,1,A1OYZYZY9KKACR,0,13,0,u
791,1,BB,smim,11,1,4985,1,A1OYZYZY9KKACR,0,14,0,oo
792,1,BB,shrelth,23,1,4213,0,A1OYZYZY9KKACR,1,15,0,oo
793,0,BG,shesp,10,1,2925,1,A1OYZYZY9KKACR,1,16,0,o
794,0,GG,flelg,20,0,2262,1,A1OYZYZY9KKACR,0,17,0,u
796,0,BG,slils,22,1,2747,0,A1OYZYZY9KKACR,0,19,0,i
798,1,BB,blelth,19,1,2259,0,A1OYZYZY9KKACR,0,21,0,e
799,1,GB,fashk,5,0,4505,0,A1OYZYZY9KKACR,1,22,0,oo
800,0,BG,sklime,2,1,2762,0,A1OYZYZY9KKACR,0,23,0,o
801,0,BG,spelsh,6,1,2963,0,A1OYZYZY9KKACR,1,24,0,a
803,1,GB,brur,13,0,1531,0,A1OYZYZY9KKACR,0,26,0,e
804,1,BB,gralfth,3,1,2043,0,A1OYZYZY9KKACR,1,27,0,i
805,0,GG,skuck,0,0,2777,1,A1OYZYZY9KKACR,0,28,0,a
806,0,GG,trilb,12,0,1841,1,A1OYZYZY9KKACR,0,29,0,a
816,0,GG,gralfth,8,0,7129,1,A1Q4PWSHDWPH1Q,1,2,0,e
817,1,BB,dwoond,23,1,6059,0,A1Q4PWSHDWPH1Q,1,3,0,oo
818,0,GG,gwempt,12,0,2703,1,A1Q4PWSHDWPH1Q,1,4,0,a
819,0,BG,gwald,18,1,2905,0,A1Q4PWSHDWPH1Q,0,5,0,a
820,1,BB,brur,11,1,3301,0,A1Q4PWSHDWPH1Q,1,6,0,oo
821,0,GG,shesp,16,0,3605,1,A1Q4PWSHDWPH1Q,1,7,0,e
822,0,BG,shrelth,10,1,3072,1,A1Q4PWSHDWPH1Q,1,8,0,o
823,1,GB,sklime,9,0,3806,0,A1Q4PWSHDWPH1Q,0,9,0,u
824,1,GB,fashk,13,0,7878,0,A1Q4PWSHDWPH1Q,1,10,0,e
825,0,GG,flelg,20,0,2750,1,A1Q4PWSHDWPH1Q,0,11,0,u
826,0,BG,smim,14,1,2629,0,A1Q4PWSHDWPH1Q,0,12,0,i
827,0,BG,skralk,22,1,3442,1,A1Q4PWSHDWPH1Q,1,13,0,i
828,1,GB,skoths,1,0,4784,0,A1Q4PWSHDWPH1Q,0,14,0,e
830,1,GB,felmth,17,0,4020,1,A1Q4PWSHDWPH1Q,1,16,0,oo
831,1,BB,trilb,19,1,2332,0,A1Q4PWSHDWPH1Q,1,17,0,e
832,1,BB,slils,3,1,3320,0,A1Q4PWSHDWPH1Q,0,18,0,i
834,0,GG,throth,0,0,2577,1,A1Q4PWSHDWPH1Q,1,20,0,a
835,1,GB,glagd,5,0,4409,0,A1Q4PWSHDWPH1Q,0,21,0,oo
836,0,GG,spup,4,0,2637,1,A1Q4PWSHDWPH1Q,0,22,0,u
839,1,GB,skuck,21,0,2425,0,A1Q4PWSHDWPH1Q,1,25,0,o
840,0,BG,spelsh,2,1,2455,0,A1Q4PWSHDWPH1Q,1,26,0,o
841,1,BB,sloond,7,1,2246,0,A1Q4PWSHDWPH1Q,1,27,0,i
842,0,BG,threlt,6,1,3570,1,A1Q4PWSHDWPH1Q,1,28,0,a
843,1,BB,blelth,15,1,2965,0,A1Q4PWSHDWPH1Q,1,29,0,o
890,0,GG,smim,18,0,14729,1,A1T56P6L5730HG,0,2,2,a
891,0,GG,gwempt,14,0,1816,1,A1T56P6L5730HG,0,3,2,i
892,1,GB,fashk,3,0,3540,1,A1T56P6L5730HG,1,4,2,i
893,0,GG,skuck,22,0,2435,0,A1T56P6L5730HG,1,5,2,i
896,1,BB,slils,21,1,1262,0,A1T56P6L5730HG,0,8,2,o
897,1,GB,sloond,19,0,1469,0,A1T56P6L5730HG,0,9,2,e
898,0,BG,skoths,20,1,2055,0,A1T56P6L5730HG,0,10,2,u
899,1,GB,shrelth,23,0,1662,0,A1T56P6L5730HG,0,11,2,oo
900,1,BB,dwoond,13,1,2838,0,A1T56P6L5730HG,1,12,2,e
901,0,GG,blelth,10,0,2279,1,A1T56P6L5730HG,0,13,2,o
902,0,BG,gralfth,8,1,2084,0,A1T56P6L5730HG,1,14,2,e
903,1,BB,threlt,17,1,1942,0,A1T56P6L5730HG,0,15,2,oo
905,0,GG,shesp,6,0,1413,1,A1T56P6L5730HG,1,17,2,a
906,1,BB,felmth,1,1,4567,0,A1T56P6L5730HG,0,18,2,e
908,1,GB,flelg,11,0,2085,1,A1T56P6L5730HG,0,20,2,oo
909,0,BG,skralk,12,1,3423,1,A1T56P6L5730HG,0,21,2,a
910,1,GB,spelsh,15,0,3319,0,A1T56P6L5730HG,1,22,2,o
911,1,BB,brur,5,1,1232,0,A1T56P6L5730HG,1,23,2,oo
912,1,GB,glagd,7,0,1215,0,A1T56P6L5730HG,1,24,2,i
913,0,GG,throth,2,0,1226,0,A1T56P6L5730HG,1,25,2,o
914,0,BG,gwald,16,1,2253,1,A1T56P6L5730HG,0,26,2,e
915,0,BG,sklime,0,1,2631,0,A1T56P6L5730HG,1,27,2,a
916,1,BB,spup,9,1,1383,0,A1T56P6L5730HG,0,28,2,u
917,0,BG,trilb,4,1,1286,1,A1T56P6L5730HG,1,29,2,u
927,1,BB,spelsh,3,1,12659,1,A1UVHG21KMQ9C9,1,2,0,i
928,1,GB,shesp,9,0,5107,0,A1UVHG21KMQ9C9,0,3,0,u
929,0,BG,skralk,22,1,2574,0,A1UVHG21KMQ9C9,1,4,0,i
930,0,BG,glagd,14,1,2547,0,A1UVHG21KMQ9C9,1,5,0,i
931,0,GG,fashk,12,0,2907,0,A1UVHG21KMQ9C9,0,6,0,a
933,0,BG,skoths,18,1,1898,0,A1UVHG21KMQ9C9,0,8,0,a
934,1,BB,brur,7,1,2211,0,A1UVHG21KMQ9C9,1,9,0,i
935,1,GB,slils,17,0,2527,0,A1UVHG21KMQ9C9,0,10,0,oo
936,1,BB,sloond,15,1,2139,0,A1UVHG21KMQ9C9,1,11,0,o
937,0,GG,threlt,4,0,2159,0,A1UVHG21KMQ9C9,0,12,0,u
938,1,BB,gwempt,19,1,2259,1,A1UVHG21KMQ9C9,0,13,0,e
941,1,BB,trilb,23,1,2207,0,A1UVHG21KMQ9C9,0,16,0,oo
942,0,GG,skuck,0,0,1774,1,A1UVHG21KMQ9C9,0,17,0,a
943,0,BG,spup,10,1,2616,1,A1UVHG21KMQ9C9,1,18,0,o
945,0,GG,smim,20,0,2021,0,A1UVHG21KMQ9C9,0,20,0,u
946,1,GB,gwald,1,0,1726,0,A1UVHG21KMQ9C9,0,21,0,e
947,1,BB,shrelth,11,1,2065,0,A1UVHG21KMQ9C9,1,22,0,oo
948,0,BG,throth,2,1,1658,0,A1UVHG21KMQ9C9,1,23,0,o
949,1,GB,sklime,13,0,1727,0,A1UVHG21KMQ9C9,0,24,0,e
950,0,GG,dwoond,8,0,1496,1,A1UVHG21KMQ9C9,1,25,0,e
951,0,GG,flelg,16,0,1543,1,A1UVHG21KMQ9C9,1,26,0,e
952,0,BG,felmth,6,1,1739,0,A1UVHG21KMQ9C9,1,27,0,a
953,1,GB,gralfth,21,0,1762,0,A1UVHG21KMQ9C9,1,28,0,o
954,1,GB,blelth,5,0,2397,1,A1UVHG21KMQ9C9,0,29,0,oo
1152,0,BG,blelth,13,1,6630,1,A21XD6CWE1JNMQ,1,2,1,e
1153,1,BB,felmth,10,1,1099,0,A21XD6CWE1JNMQ,1,3,1,o
1154,1,GB,dwoond,0,0,1194,1,A21XD6CWE1JNMQ,0,4,1,a
1155,1,GB,flelg,4,0,1073,1,A21XD6CWE1JNMQ,0,5,1,u
1156,0,GG,gwempt,3,0,1697,1,A21XD6CWE1JNMQ,1,6,1,i
1157,0,BG,throth,9,1,1686,0,A21XD6CWE1JNMQ,0,7,1,u
1159,1,BB,slils,22,1,1305,0,A21XD6CWE1JNMQ,0,9,1,i
1161,0,GG,shrelth,19,0,1110,1,A21XD6CWE1JNMQ,0,11,1,e
1162,1,BB,gralfth,6,1,1186,0,A21XD6CWE1JNMQ,0,12,1,a
1164,1,GB,glagd,12,0,1589,0,A21XD6CWE1JNMQ,1,14,1,a
1165,0,GG,gwald,15,0,1167,1,A21XD6CWE1JNMQ,0,15,1,o
1167,0,GG,trilb,7,0,1171,1,A21XD6CWE1JNMQ,1,17,1,i
1168,1,GB,sloond,16,0,1112,0,A21XD6CWE1JNMQ,1,18,1,e
1169,0,BG,spup,5,1,962,0,A21XD6CWE1JNMQ,0,19,1,oo
1170,0,GG,shesp,23,0,1017,1,A21XD6CWE1JNMQ,0,20,1,oo
1171,0,BG,fashk,17,1,1115,1,A21XD6CWE1JNMQ,1,21,1,oo
1172,1,GB,spelsh,20,0,1010,0,A21XD6CWE1JNMQ,1,22,1,u
1173,0,BG,sklime,1,1,1147,1,A21XD6CWE1JNMQ,1,23,1,e
1174,0,BG,skralk,21,1,1346,1,A21XD6CWE1JNMQ,0,24,1,o
1175,1,BB,threlt,2,1,1121,0,A21XD6CWE1JNMQ,1,25,1,o
1176,1,GB,skoths,8,0,1125,0,A21XD6CWE1JNMQ,0,26,1,e
1177,1,BB,skuck,18,1,927,0,A21XD6CWE1JNMQ,1,27,1,a
1178,0,GG,smim,11,0,988,1,A21XD6CWE1JNMQ,0,28,1,oo
1179,1,BB,brur,14,1,843,0,A21XD6CWE1JNMQ,1,29,1,i
1189,1,GB,skuck,19,0,9440,0,A23DPGTXU8VUG2,1,2,2,e
1190,1,BB,throth,13,1,2108,1,A23DPGTXU8VUG2,1,3,2,e
1191,0,BG,threlt,0,1,1936,0,A23DPGTXU8VUG2,0,4,2,a
1192,1,BB,gwempt,21,1,1030,1,A23DPGTXU8VUG2,0,5,2,o
1193,0,BG,blelth,16,1,1056,1,A23DPGTXU8VUG2,1,6,2,e
1194,1,BB,felmth,17,1,897,0,A23DPGTXU8VUG2,1,7,2,oo
1195,0,BG,dwoond,4,1,819,1,A23DPGTXU8VUG2,0,8,2,u
1196,0,GG,slils,22,0,1452,0,A23DPGTXU8VUG2,1,9,2,i
1197,0,GG,brur,6,0,1591,0,A23DPGTXU8VUG2,0,10,2,a
1198,0,BG,smim,12,1,799,1,A23DPGTXU8VUG2,0,11,2,a
1200,1,GB,shrelth,15,0,4666,0,A23DPGTXU8VUG2,1,13,2,o
1201,1,BB,spup,9,1,1395,0,A23DPGTXU8VUG2,1,14,2,u
1203,1,GB,shesp,3,0,967,1,A23DPGTXU8VUG2,0,16,2,i
1204,1,BB,skoths,1,1,508,0,A23DPGTXU8VUG2,1,17,2,e
1205,1,GB,glagd,23,0,984,0,A23DPGTXU8VUG2,0,18,2,oo
1206,0,GG,gralfth,10,0,1050,0,A23DPGTXU8VUG2,1,19,2,o
1207,0,GG,trilb,14,0,1119,0,A23DPGTXU8VUG2,0,20,2,i
1209,0,GG,sklime,18,0,2202,1,A23DPGTXU8VUG2,0,22,2,a
1210,0,BG,fashk,20,1,905,0,A23DPGTXU8VUG2,1,23,2,u
1211,1,GB,flelg,7,0,929,1,A23DPGTXU8VUG2,1,24,2,i
1212,1,BB,spelsh,5,1,1415,0,A23DPGTXU8VUG2,1,25,2,oo
1213,0,BG,gwald,8,1,1036,0,A23DPGTXU8VUG2,1,26,2,e
1214,0,GG,sloond,2,0,867,1,A23DPGTXU8VUG2,0,27,2,o
1215,1,GB,skralk,11,0,839,0,A23DPGTXU8VUG2,1,28,2,oo
1226,0,BG,skuck,14,1,6163,0,A26T6O5EFR54A9,1,2,0,i
1227,0,GG,gwald,12,0,1847,1,A26T6O5EFR54A9,1,3,0,a
1228,1,GB,shesp,1,0,2713,0,A26T6O5EFR54A9,1,4,0,e
1229,0,BG,skralk,18,1,2345,0,A26T6O5EFR54A9,1,5,0,a
1230,0,BG,spup,10,1,2318,0,A26T6O5EFR54A9,1,6,0,o
1231,1,BB,throth,3,1,1793,0,A26T6O5EFR54A9,0,7,0,i
1232,0,GG,smim,16,0,2424,1,A26T6O5EFR54A9,1,8,0,e
1233,0,BG,glagd,22,1,2801,1,A26T6O5EFR54A9,1,9,0,i
1234,1,GB,trilb,17,0,2018,0,A26T6O5EFR54A9,1,10,0,oo
1236,1,BB,brur,19,1,2029,0,A26T6O5EFR54A9,0,12,0,e
1237,0,GG,shrelth,4,0,1568,1,A26T6O5EFR54A9,0,13,0,u
1238,0,GG,felmth,20,0,1649,1,A26T6O5EFR54A9,1,14,0,u
1239,0,BG,slils,2,1,3656,0,A26T6O5EFR54A9,1,15,0,o
1240,0,GG,sklime,0,0,2103,1,A26T6O5EFR54A9,0,16,0,a
1241,1,GB,sloond,9,0,1628,0,A26T6O5EFR54A9,0,17,0,u
1242,1,GB,gwempt,21,0,3015,0,A26T6O5EFR54A9,1,18,0,o
1243,1,BB,threlt,7,1,1800,0,A26T6O5EFR54A9,0,19,0,i
1244,1,GB,blelth,13,0,1899,0,A26T6O5EFR54A9,1,20,0,e
1246,1,BB,gralfth,23,1,2445,0,A26T6O5EFR54A9,1,22,0,oo
1247,1,BB,fashk,15,1,2597,0,A26T6O5EFR54A9,0,23,0,o
1249,0,BG,dwoond,6,1,1698,1,A26T6O5EFR54A9,0,25,0,a
1250,1,BB,spelsh,11,1,2216,0,A26T6O5EFR54A9,1,26,0,oo
1252,1,GB,skoths,5,0,1977,0,A26T6O5EFR54A9,0,28,0,oo
1253,0,GG,flelg,8,0,1267,1,A26T6O5EFR54A9,1,29,0,e
1263,1,GB,skuck,7,0,19490,0,A27BKFN6UB1LDP,0,2,2,i
1265,1,GB,gwald,23,0,2796,0,A27BKFN6UB1LDP,1,4,2,oo
1266,0,GG,shrelth,2,0,2024,1,A27BKFN6UB1LDP,1,5,2,o
1267,1,GB,throth,15,0,2061,0,A27BKFN6UB1LDP,0,6,2,o
1269,1,BB,glagd,21,1,2028,0,A27BKFN6UB1LDP,0,8,2,o
1270,0,GG,slils,14,0,1848,1,A27BKFN6UB1LDP,0,9,2,i
1271,1,GB,gwempt,3,0,2662,0,A27BKFN6UB1LDP,1,10,2,i
1272,1,BB,flelg,17,1,1705,0,A27BKFN6UB1LDP,0,11,2,oo
1273,1,BB,trilb,9,1,1576,0,A27BKFN6UB1LDP,0,12,2,u
1274,0,BG,spelsh,4,1,1437,0,A27BKFN6UB1LDP,1,13,2,u
1275,0,GG,skralk,22,0,2356,1,A27BKFN6UB1LDP,0,14,2,i
1276,0,BG,spup,8,1,1566,0,A27BKFN6UB1LDP,0,15,2,e
1277,1,BB,gralfth,1,1,1520,1,A27BKFN6UB1LDP,1,16,2,e
1278,0,BG,shesp,12,1,1296,1,A27BKFN6UB1LDP,1,17,2,a
1279,0,GG,felmth,10,0,1320,1,A27BKFN6UB1LDP,1,18,2,o
1280,0,BG,dwoond,16,1,3450,1,A27BKFN6UB1LDP,1,19,2,e
1281,0,GG,blelth,6,0,1609,1,A27BKFN6UB1LDP,1,20,2,a
1283,0,GG,sklime,18,0,1202,1,A27BKFN6UB1LDP,1,22,2,a
1284,0,BG,skoths,0,1,2299,1,A27BKFN6UB1LDP,1,23,2,a
1285,0,BG,brur,20,1,1965,0,A27BKFN6UB1LDP,0,24,2,u
1286,1,GB,sloond,11,0,2053,0,A27BKFN6UB1LDP,0,25,2,oo
1287,1,BB,smim,13,1,3024,0,A27BKFN6UB1LDP,1,26,2,e
1288,1,GB,threlt,19,0,2310,0,A27BKFN6UB1LDP,1,27,2,e
1290,1,BB,fashk,5,1,1783,0,A27BKFN6UB1LDP,0,29,2,oo
1300,0,GG,dwoond,5,0,14941,1,A27WQKJ0EAA6SK,0,2,3,oo
1302,1,GB,shrelth,10,0,2284,0,A27WQKJ0EAA6SK,0,4,3,o
1303,1,BB,gwald,20,1,2267,0,A27WQKJ0EAA6SK,1,5,3,u
1304,0,BG,shesp,15,1,3779,0,A27WQKJ0EAA6SK,0,6,3,o
1305,0,GG,skralk,1,0,3044,1,A27WQKJ0EAA6SK,0,7,3,e
1306,1,GB,blelth,18,0,1885,0,A27WQKJ0EAA6SK,0,8,3,a
1307,1,BB,threlt,16,1,1676,0,A27WQKJ0EAA6SK,1,9,3,e
1308,0,GG,smim,13,0,1436,1,A27WQKJ0EAA6SK,1,10,3,e
