,ChoseViolation,Item,NumberIterations,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
17439,1,364,5,1,2440,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,305,Voicing,0
17440,0,418,5,1,3543,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,306,Place,1
17441,1,397,5,1,2418,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,307,Voicing,0
17443,1,361,5,1,2086,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,309,Voicing,1
17444,0,442,5,1,3485,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,310,Place,0
17445,1,385,5,1,2764,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,311,Voicing,0
17446,1,430,5,1,4188,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,312,Place,0
17449,0,391,5,1,2630,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,315,Voicing,1
17450,1,427,5,1,4801,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,316,Place,1
17451,0,376,5,1,2096,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,317,Voicing,1
17452,1,460,5,1,2496,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,318,Place,0
17454,0,406,5,1,2081,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,320,Place,0
17456,1,457,5,1,3061,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,322,Place,0
17458,0,421,5,1,2433,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,324,Place,1
17459,0,346,5,1,2045,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,325,Voicing,1
17460,1,424,5,1,3629,n,A1TLNLB9D87H6,*NF,PlaceAssimilation,326,Place,1
17463,1,403,5,1,5306,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,329,Voicing,0
17464,0,439,5,1,4431,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,330,Place,0
17465,0,400,5,1,2330,b,A1TLNLB9D87H6,*DF,PlaceAssimilation,331,Voicing,1
17466,1,415,5,1,1832,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,332,Place,0
17467,0,370,5,1,1900,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,333,Voicing,1
17468,0,463,5,1,1875,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,334,Place,0
17469,1,373,5,1,4482,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,335,Voicing,1
17470,1,433,5,1,2231,ng,A1TLNLB9D87H6,*NF,PlaceAssimilation,336,Place,1
17471,1,352,5,1,3235,d,A1TLNLB9D87H6,*DF,PlaceAssimilation,337,Voicing,0
17569,0,370,1,1,2558,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,89,Voicing,0
17571,0,397,1,1,1738,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,91,Voicing,0
17572,0,451,1,1,2130,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,92,Place,0
17573,1,364,1,1,2738,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,93,Voicing,0
17574,0,442,1,1,3137,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,94,Place,1
17575,1,349,1,1,2588,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,95,Voicing,1
17576,0,424,1,1,2560,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,96,Place,1
17577,0,400,1,1,2571,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,97,Voicing,1
17578,0,409,1,1,3107,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,98,Place,1
17580,0,448,1,1,3080,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,100,Place,0
17581,1,355,1,1,2418,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,101,Voicing,0
17582,0,427,1,1,2738,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,102,Place,0
17583,1,403,1,1,2858,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,103,Voicing,0
17588,0,439,1,1,2563,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,108,Place,1
17589,1,376,1,1,2555,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,109,Voicing,1
17590,0,463,1,1,2027,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,110,Place,0
17592,0,412,1,1,2306,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,112,Place,0
17593,1,346,1,1,3410,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,113,Voicing,1
17594,0,445,1,1,1890,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,114,Place,0
17596,0,430,1,1,2523,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,116,Place,0
17597,1,394,1,1,5467,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,117,Voicing,0
17598,0,454,1,1,2819,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,118,Place,0
17599,1,382,1,1,3899,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,119,Voicing,0
17601,1,367,1,1,2786,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,121,Voicing,1
17602,0,460,1,1,2930,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,122,Place,0
17603,1,388,1,1,3170,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,123,Voicing,1
17604,0,406,1,1,2337,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,124,Place,1
17605,1,391,1,1,2689,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,125,Voicing,1
17607,1,352,1,1,2675,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,127,Voicing,1
17608,0,433,1,1,1714,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,128,Place,1
17609,1,358,1,1,2811,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,129,Voicing,1
17610,0,418,1,1,1779,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,130,Place,0
17611,1,361,1,1,1673,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,131,Voicing,0
17612,0,436,1,1,2600,n,A1TXR6CIB395QP,*NF,PlaceAssimilation,132,Place,1
17613,1,385,1,1,3194,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,133,Voicing,0
17614,0,421,1,1,1931,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,134,Place,1
17615,1,379,1,1,3378,b,A1TXR6CIB395QP,*DF,PlaceAssimilation,135,Voicing,1
17616,0,457,1,1,2330,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,136,Place,0
17617,0,373,1,1,2378,d,A1TXR6CIB395QP,*DF,PlaceAssimilation,137,Voicing,1
17618,0,415,1,1,1899,ng,A1TXR6CIB395QP,*NF,PlaceAssimilation,138,Place,0
17912,0,394,2,1,3823,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,139,Voicing,1
17913,0,406,2,1,1773,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,140,Place,0
17914,1,379,2,1,2151,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,141,Voicing,0
17918,0,352,2,1,7796,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,145,Voicing,0
17919,1,412,2,1,1566,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,146,Place,1
17921,1,424,2,1,2950,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,148,Place,1
17923,1,445,2,1,1798,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,150,Place,0
17924,1,388,2,1,1518,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,151,Voicing,1
17925,1,439,2,1,1686,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,152,Place,0
17926,0,349,2,1,1862,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,153,Voicing,0
17927,0,448,2,1,2438,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,154,Place,0
17928,0,397,2,1,1772,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,155,Voicing,1
17929,0,409,2,1,1942,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,156,Place,0
17930,1,400,2,1,2261,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,157,Voicing,1
17931,1,433,2,1,2599,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,158,Place,1
17932,0,370,2,1,1981,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,159,Voicing,0
17934,0,355,2,1,2498,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,161,Voicing,1
17935,1,457,2,1,1660,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,162,Place,1
17936,1,391,2,1,2390,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,163,Voicing,1
17938,0,382,2,1,1462,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,165,Voicing,1
17939,0,427,2,1,1925,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,166,Place,0
17940,1,361,2,1,1711,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,167,Voicing,1
17941,0,451,2,1,1304,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,168,Place,1
17942,0,385,2,1,1556,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,169,Voicing,0
17944,0,364,2,1,1772,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,171,Voicing,0
17945,0,418,2,1,1646,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,172,Place,1
17946,0,358,2,1,1358,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,173,Voicing,0
17947,0,421,2,1,1141,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,174,Place,0
17948,1,346,2,1,1446,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,175,Voicing,0
17949,0,442,2,1,1326,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,176,Place,0
17950,1,403,2,1,1365,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,177,Voicing,0
17951,0,436,2,1,1565,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,178,Place,0
17952,1,367,2,1,1078,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,179,Voicing,1
17953,1,430,2,1,2151,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,180,Place,1
17955,0,460,2,1,1158,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,182,Place,1
17956,1,376,2,1,1750,b,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,183,Voicing,1
17957,0,454,2,1,1406,n,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,184,Place,1
17958,0,373,2,1,1230,d,A1U3KTAUMV7QKT,*DF,PlaceAssimilation,185,Voicing,0
17959,0,415,2,1,1038,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,186,Place,0
17961,1,463,2,1,1374,ng,A1U3KTAUMV7QKT,*NF,PlaceAssimilation,188,Place,0
19330,0,457,1,0,12853,ng,A1VO8E1TC7IJFY,*NF,Devoicing,89,Place,0
19331,0,403,1,0,9397,b,A1VO8E1TC7IJFY,*DF,Devoicing,90,Voicing,1
19332,1,454,1,0,5286,n,A1VO8E1TC7IJFY,*NF,Devoicing,91,Place,0
19333,0,364,1,0,3490,d,A1VO8E1TC7IJFY,*DF,Devoicing,92,Voicing,0
19334,1,445,1,0,7237,ng,A1VO8E1TC7IJFY,*NF,Devoicing,93,Place,1
19335,0,367,1,0,4675,d,A1VO8E1TC7IJFY,*DF,Devoicing,94,Voicing,1
19339,0,370,1,0,2754,d,A1VO8E1TC7IJFY,*DF,Devoicing,98,Voicing,1
19340,1,436,1,0,5193,n,A1VO8E1TC7IJFY,*NF,Devoicing,99,Place,0
19341,0,361,1,0,3965,d,A1VO8E1TC7IJFY,*DF,Devoicing,100,Voicing,0
19343,1,382,1,0,6864,b,A1VO8E1TC7IJFY,*DF,Devoicing,102,Voicing,1
19344,1,412,1,0,2495,n,A1VO8E1TC7IJFY,*NF,Devoicing,103,Place,1
19345,0,349,1,0,2192,d,A1VO8E1TC7IJFY,*DF,Devoicing,104,Voicing,0
19346,1,415,1,0,7337,ng,A1VO8E1TC7IJFY,*NF,Devoicing,105,Place,1
19347,0,358,1,0,6843,d,A1VO8E1TC7IJFY,*DF,Devoicing,106,Voicing,1
19348,1,442,1,0,7147,n,A1VO8E1TC7IJFY,*NF,Devoicing,107,Place,1
19349,0,373,1,0,2357,d,A1VO8E1TC7IJFY,*DF,Devoicing,108,Voicing,1
19350,1,433,1,0,2854,ng,A1VO8E1TC7IJFY,*NF,Devoicing,109,Place,1
19351,0,394,1,0,3241,b,A1VO8E1TC7IJFY,*DF,Devoicing,110,Voicing,1
19353,0,397,1,0,2082,b,A1VO8E1TC7IJFY,*DF,Devoicing,112,Voicing,0
19354,1,409,1,0,5621,ng,A1VO8E1TC7IJFY,*NF,Devoicing,113,Place,0
19356,1,421,1,0,3594,ng,A1VO8E1TC7IJFY,*NF,Devoicing,115,Place,1
19357,0,400,1,0,4940,b,A1VO8E1TC7IJFY,*DF,Devoicing,116,Voicing,1
19358,0,430,1,0,3668,n,A1VO8E1TC7IJFY,*NF,Devoicing,117,Place,1
19359,0,346,1,0,3607,d,A1VO8E1TC7IJFY,*DF,Devoicing,118,Voicing,0
19360,0,448,1,0,4166,n,A1VO8E1TC7IJFY,*NF,Devoicing,119,Place,0
19362,0,424,1,0,4809,n,A1VO8E1TC7IJFY,*NF,Devoicing,121,Place,1
19363,1,385,1,0,26622,b,A1VO8E1TC7IJFY,*DF,Devoicing,122,Voicing,0
19364,1,439,1,0,3250,ng,A1VO8E1TC7IJFY,*NF,Devoicing,123,Place,0
19366,1,418,1,0,3241,n,A1VO8E1TC7IJFY,*NF,Devoicing,125,Place,0
19369,0,379,1,0,7617,b,A1VO8E1TC7IJFY,*DF,Devoicing,128,Voicing,0
19370,1,463,1,0,3437,ng,A1VO8E1TC7IJFY,*NF,Devoicing,129,Place,1
19371,0,388,1,0,2561,b,A1VO8E1TC7IJFY,*DF,Devoicing,130,Voicing,1
19372,1,451,1,0,2480,ng,A1VO8E1TC7IJFY,*NF,Devoicing,131,Place,1
19373,0,376,1,0,3972,b,A1VO8E1TC7IJFY,*DF,Devoicing,132,Voicing,1
19374,1,427,1,0,3853,ng,A1VO8E1TC7IJFY,*NF,Devoicing,133,Place,1
19375,0,352,1,0,8501,d,A1VO8E1TC7IJFY,*DF,Devoicing,134,Voicing,0
19376,0,460,1,0,35614,n,A1VO8E1TC7IJFY,*NF,Devoicing,135,Place,1
19377,0,391,1,0,3856,b,A1VO8E1TC7IJFY,*DF,Devoicing,136,Voicing,0
19378,1,406,1,0,2921,n,A1VO8E1TC7IJFY,*NF,Devoicing,137,Place,1
19379,0,355,1,0,2758,d,A1VO8E1TC7IJFY,*DF,Devoicing,138,Voicing,1
21423,1,427,1,1,4465,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,89,Place,0
21425,1,439,1,1,3756,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,91,Place,1
21426,1,403,1,1,4457,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,92,Voicing,0
21428,1,382,1,1,5576,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,94,Voicing,0
21429,1,463,1,1,2908,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,95,Place,1
21430,0,379,1,1,3313,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,96,Voicing,1
21431,1,409,1,1,2518,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,97,Place,1
21433,1,451,1,1,2658,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,99,Place,1
21434,1,373,1,1,3673,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,100,Voicing,0
21435,1,433,1,1,2226,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,101,Place,0
21436,1,391,1,1,5328,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,102,Voicing,1
21437,1,460,1,1,4063,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,103,Place,1
21439,1,406,1,1,3354,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,105,Place,0
21442,0,361,1,1,6086,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,108,Voicing,0
21443,1,415,1,1,2954,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,109,Place,0
21444,1,370,1,1,4446,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,110,Voicing,0
21445,1,421,1,1,2501,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,111,Place,0
21446,1,364,1,1,6418,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,112,Voicing,0
21447,0,418,1,1,7820,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,113,Place,0
21448,0,388,1,1,3442,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,114,Voicing,0
21449,0,436,1,1,6367,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,115,Place,0
21450,0,394,1,1,3354,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,116,Voicing,1
21451,0,412,1,1,8164,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,117,Place,1
21452,0,349,1,1,3548,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,118,Voicing,0
21454,1,352,1,1,3676,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,120,Voicing,0
21456,0,346,1,1,4331,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,122,Voicing,0
21457,1,442,1,1,4487,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,123,Place,0
21458,0,397,1,1,4534,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,124,Voicing,1
21459,0,424,1,1,3464,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,125,Place,0
21460,0,376,1,1,4249,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,126,Voicing,0
21461,1,445,1,1,2860,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,127,Place,0
21462,1,400,1,1,7024,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,128,Voicing,0
21463,0,457,1,1,3816,ng,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,129,Place,1
21464,0,358,1,1,3392,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,130,Voicing,1
21466,1,385,1,1,3122,b,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,132,Voicing,0
21467,1,430,1,1,5100,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,133,Place,0
21469,1,448,1,1,5758,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,135,Place,0
21470,0,367,1,1,3679,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,136,Voicing,0
21471,1,454,1,1,6848,n,A1XMFODRPFWKJ7,*NF,PlaceAssimilation,137,Place,1
21472,1,355,1,1,3266,d,A1XMFODRPFWKJ7,*DF,PlaceAssimilation,138,Voicing,1
21696,1,451,1,1,3958,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,89,Place,1
21697,1,400,1,1,3468,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,90,Voicing,1
21698,1,448,1,1,2386,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,91,Place,1
21699,1,403,1,1,3999,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,92,Voicing,0
21700,1,445,1,1,2879,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,93,Place,1
21701,1,379,1,1,4173,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,94,Voicing,1
21702,1,427,1,1,2792,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,95,Place,1
21703,1,370,1,1,3011,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,96,Voicing,1
21704,1,433,1,1,2826,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,97,Place,1
21705,1,364,1,1,2645,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,98,Voicing,1
21706,1,415,1,1,2755,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,99,Place,1
21708,1,412,1,1,3194,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,101,Place,1
21709,0,346,1,1,3766,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,102,Voicing,1
21710,1,421,1,1,2884,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,103,Place,1
21711,1,382,1,1,3931,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,104,Voicing,0
21712,1,418,1,1,2819,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,105,Place,1
21713,1,358,1,1,2835,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,106,Voicing,0
21714,1,439,1,1,2867,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,107,Place,1
21715,0,397,1,1,4667,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,108,Voicing,1
21716,0,442,1,1,4144,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,109,Place,1
21719,0,349,1,1,2885,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,112,Voicing,1
21721,1,361,1,1,2898,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,114,Voicing,0
21722,1,430,1,1,4137,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,115,Place,0
21724,1,454,1,1,2987,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,117,Place,1
21725,1,373,1,1,2882,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,118,Voicing,0
21726,0,460,1,1,3309,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,119,Place,0
21727,0,391,1,1,4188,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,120,Voicing,1
21728,0,424,1,1,3218,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,121,Place,1
21729,0,367,1,1,2574,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,122,Voicing,0
21730,0,409,1,1,3275,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,123,Place,0
21732,1,457,1,1,3237,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,125,Place,1
21733,1,355,1,1,3801,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,126,Voicing,1
21734,0,436,1,1,3865,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,127,Place,1
21736,0,463,1,1,2545,ng,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,129,Place,1
21737,1,352,1,1,2796,d,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,130,Voicing,1
21738,1,406,1,1,3384,n,A1ZB2NY0F9QNP0,*NF,PlaceAssimilation,131,Place,0
21739,0,385,1,1,3243,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,132,Voicing,1
21741,0,388,1,1,5433,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,134,Voicing,1
21743,0,394,1,1,4861,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,136,Voicing,1
21745,1,376,1,1,3387,b,A1ZB2NY0F9QNP0,*DF,PlaceAssimilation,138,Voicing,0
21989,1,352,1,0,8276,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,89,Voicing,0
21990,1,421,1,0,4153,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,90,Place,0
21991,0,367,1,0,5379,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,91,Voicing,0
21992,0,433,1,0,3979,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,92,Place,1
21993,1,361,1,0,3072,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,93,Voicing,1
21994,0,415,1,0,6943,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,94,Place,1
21996,1,406,1,0,3350,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,96,Place,0
21997,0,358,1,0,6217,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,97,Voicing,0
21998,0,451,1,0,4333,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,98,Place,1
21999,0,382,1,0,3015,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,99,Voicing,1
22000,0,439,1,0,4591,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,100,Place,1
22001,0,403,1,0,2667,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,101,Voicing,1
22002,0,442,1,0,2638,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,102,Place,0
22003,0,388,1,0,3787,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,103,Voicing,1
22005,0,373,1,0,3210,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,105,Voicing,0
22008,0,448,1,0,4129,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,108,Place,1
22010,0,409,1,0,2502,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,110,Place,0
22011,0,391,1,0,2023,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,111,Voicing,1
22012,0,436,1,0,2679,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,112,Place,0
22013,0,349,1,0,3072,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,113,Voicing,1
22014,0,418,1,0,2811,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,114,Place,0
22015,0,376,1,0,2569,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,115,Voicing,0
22018,0,412,1,0,1828,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,118,Place,1
22020,0,424,1,0,1546,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,120,Place,0
22021,0,400,1,0,1394,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,121,Voicing,0
22022,0,430,1,0,1590,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,122,Place,0
22023,0,397,1,0,2668,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,123,Voicing,1
22024,0,457,1,0,1687,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,124,Place,0
22025,0,346,1,0,1683,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,125,Voicing,0
22026,0,427,1,0,1588,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,126,Place,0
22027,0,379,1,0,2514,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,127,Voicing,0
22029,0,355,1,0,1911,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,129,Voicing,1
22030,0,454,1,0,2087,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,130,Place,1
22031,0,370,1,0,1646,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,131,Voicing,0
22032,0,445,1,0,1698,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,132,Place,1
22033,0,385,1,0,2238,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,133,Voicing,1
22034,0,460,1,0,2048,n,A1ZF2GZ2ZRV8OY,*NF,Devoicing,134,Place,1
22035,0,364,1,0,1478,d,A1ZF2GZ2ZRV8OY,*DF,Devoicing,135,Voicing,1
22037,0,394,1,0,1509,b,A1ZF2GZ2ZRV8OY,*DF,Devoicing,137,Voicing,1
22038,0,463,1,0,7120,ng,A1ZF2GZ2ZRV8OY,*NF,Devoicing,138,Place,1
22336,1,346,5,1,674,d,A1ZLF0FO5B21NS,*DF,PlaceAssimilation,290,Voicing,0
22337,1,442,5,1,141,n,A1ZLF0FO5B21NS,*NF,PlaceAssimilation,291,Place,0
